# pearycli > acquire
# Software version: peary v0.11.0+607^g2933fc7b
# Firmware version: Firmware version: 0x00000000 (0/0/2000 0:0:0)
# Register state: 
# H2M: acq_mode:2, acq_start:0, analog_out_ctrl:0, bgr_iref_trim:3, bgr_res_0:2, bgr_res_1:1, bgr_res_2:1, conf:0, dac_ibias:37, dac_ikrum:21, dac_itrim:35, dac_vref:100, dac_vthr:86, dac_vtpulse:0, digital_out_ctrl:1, enable_bridge:255, latency:0, link_shutter_tp:0, matrix_ctrl:0, px_cnt_r_0:0, px_cnt_r_1:0, px_cnt_r_10:0, px_cnt_r_11:0, px_cnt_r_12:0, px_cnt_r_13:0, px_cnt_r_14:0, px_cnt_r_15:0, px_cnt_r_16:0, px_cnt_r_17:0, px_cnt_r_18:0, px_cnt_r_19:0, px_cnt_r_2:0, px_cnt_r_20:0, px_cnt_r_21:0, px_cnt_r_22:0, px_cnt_r_23:0, px_cnt_r_24:0, px_cnt_r_25:0, px_cnt_r_26:0, px_cnt_r_27:0, px_cnt_r_28:0, px_cnt_r_29:0, px_cnt_r_3:0, px_cnt_r_30:0, px_cnt_r_31:0, px_cnt_r_32:0, px_cnt_r_33:0, px_cnt_r_34:0, px_cnt_r_35:0, px_cnt_r_36:0, px_cnt_r_37:0, px_cnt_r_38:0, px_cnt_r_39:0, px_cnt_r_4:0, px_cnt_r_40:0, px_cnt_r_41:0, px_cnt_r_42:0, px_cnt_r_43:0, px_cnt_r_44:0, px_cnt_r_45:0, px_cnt_r_46:0, px_cnt_r_47:0, px_cnt_r_48:0, px_cnt_r_49:0, px_cnt_r_5:0, px_cnt_r_50:0, px_cnt_r_51:0, px_cnt_r_52:0, px_cnt_r_53:0, px_cnt_r_54:0, px_cnt_r_55:0, px_cnt_r_56:0, px_cnt_r_57:0, px_cnt_r_58:0, px_cnt_r_59:0, px_cnt_r_6:0, px_cnt_r_60:0, px_cnt_r_61:0, px_cnt_r_62:0, px_cnt_r_63:0, px_cnt_r_7:0, px_cnt_r_8:0, px_cnt_r_9:0, shutter_select:0, shutter_tp_lat:16, tp_num:0, tp_off:0, tp_on:0, tp_polarity:1, tp_sel_digital:0, 
# Timestamp: 13:25:03.044
===== 0 =====
0,1,2,3
0,10,2,5
3,13,2,1
5,4,2,1
6,0,2,1
6,6,2,1
7,9,2,3
8,12,2,1
9,3,2,3
13,13,2,3
14,1,2,1
15,4,2,1
15,15,2,1
17,12,2,1
18,11,2,2
19,10,2,1
22,0,2,15
23,4,2,1
23,7,2,1
24,8,2,1
24,12,2,1
26,0,2,2
27,6,2,1
28,11,2,254
29,12,2,4
31,4,2,10
31,10,2,2
31,14,2,1
32,13,2,1
33,8,2,2
34,14,2,1
35,8,2,2
35,15,2,4
36,6,2,1
36,11,2,1
37,14,2,7
38,3,2,1
38,5,2,1
38,13,2,1
41,12,2,1
42,9,2,1
42,10,2,2
44,2,2,1
44,10,2,1
46,5,2,5
48,2,2,4
49,13,2,1
51,10,2,1
52,1,2,1
57,6,2,1
58,7,2,3
60,12,2,52
62,13,2,6
===== 1 =====
5,4,2,1
6,2,2,3
11,9,2,4
11,13,2,1
12,2,2,2
15,15,2,8
17,12,2,1
18,11,2,3
18,13,2,5
22,0,2,15
22,11,2,3
23,4,2,1
24,8,2,1
26,15,2,2
27,6,2,1
28,11,2,174
29,14,2,3
31,1,2,1
31,4,2,8
31,13,2,5
34,10,2,2
34,12,2,3
35,8,2,1
35,15,2,1
37,8,2,1
37,13,2,1
37,14,2,10
38,13,2,1
39,3,2,3
39,14,2,1
41,2,2,1
42,7,2,5
43,4,2,1
44,5,2,3
48,6,2,1
49,11,2,1
50,6,2,1
51,10,2,1
51,13,2,2
52,1,2,1
54,9,2,7
57,6,2,1
59,7,2,1
60,12,2,49
62,3,2,2
62,13,2,9
===== 2 =====
2,1,2,3
6,0,2,1
9,3,2,2
10,13,2,7
15,4,2,1
15,15,2,4
16,6,2,2
16,11,2,1
17,12,2,1
18,11,2,1
19,10,2,1
22,0,2,25
22,13,2,3
23,4,2,2
23,7,2,1
24,1,2,2
24,8,2,1
28,0,2,1
28,11,2,254
30,7,2,1
31,4,2,14
32,0,2,1
35,5,2,3
35,8,2,1
35,15,2,1
36,6,2,1
36,11,2,6
37,0,2,1
37,14,2,13
38,13,2,1
41,2,2,1
43,10,2,2
44,2,2,1
44,5,2,1
45,8,2,1
47,14,2,8
49,8,2,2
50,6,2,1
51,10,2,1
52,1,2,1
